filepath,country,year,survey,filename,HIV_pos,HIV_neg,Prevalence,include
D:\EricChow\DHS_live\Brazil\Standard DHS 1996\br31_flattened.dta,Brazil,1996,Standard DHS 1996,br31_flattened.dta,,,,
D:\EricChow\DHS_live\Burkina Faso\MIS 2014\bf70_flattened.dta,Burkina Faso,2014,MIS 2014,bf70_flattened.dta,,,,
D:\EricChow\DHS_live\Burkina Faso\Standard DHS 1993\bf21_flattened.dta,Burkina Faso,1993,Standard DHS 1993,bf21_flattened.dta,,,,
D:\EricChow\DHS_live\Burkina Faso\Standard DHS 1998-99\bf31_flattened.dta,Burkina Faso,1998,Standard DHS 1998-99,bf31_flattened.dta,,,,
D:\EricChow\DHS_live\Burkina Faso\Standard DHS 2003\bf41_flattened.dta,Burkina Faso,2003,Standard DHS 2003,bf41_flattened.dta,129,7637,0.016610868,1
D:\EricChow\DHS_live\Burkina Faso\Standard DHS 2010\bf61_flattened.dta,Burkina Faso,2010,Standard DHS 2010,bf61_flattened.dta,166,15502,0.010594843,1
D:\EricChow\DHS_live\Burundi\MIS 2012\bu6h_flattened.dta,Burundi,2012,MIS 2012,bu6h_flattened.dta,,,,
D:\EricChow\DHS_live\Burundi\Standard DHS 1987\bu02_flattened.dta,Burundi,1987,Standard DHS 1987,bu02_flattened.dta,,,,
D:\EricChow\DHS_live\Burundi\Standard DHS 2010\bu61_flattened.dta,Burundi,2010,Standard DHS 2010,bu61_flattened.dta,167,8623,0.018998862,1
D:\EricChow\DHS_live\Cambodia\Standard DHS 2000\kh42_flattened.dta,Cambodia,2000,Standard DHS 2000,kh42_flattened.dta,,,,
D:\EricChow\DHS_live\Cambodia\Standard DHS 2005\kh51_flattened.dta,Cambodia,2005,Standard DHS 2005,kh51_flattened.dta,87,15315,0.005648617,1
D:\EricChow\DHS_live\Cambodia\Standard DHS 2010\kh61_flattened.dta,Cambodia,2010,Standard DHS 2010,kh61_flattened.dta,,,,
D:\EricChow\DHS_live\Cambodia\Standard DHS 2014\kh73_flattened.dta,Cambodia,2014,Standard DHS 2014,kh73_flattened.dta,,,,
D:\EricChow\DHS_live\Cameroon\Standard DHS 1991\cm22_flattened.dta,Cameroon,1991,Standard DHS 1991,cm22_flattened.dta,,,,
D:\EricChow\DHS_live\Cameroon\Standard DHS 1998\cm31_flattened.dta,Cameroon,1998,Standard DHS 1998,cm31_flattened.dta,,,,
D:\EricChow\DHS_live\Cameroon\Standard DHS 2004\cm42_flattened.dta,Cameroon,2004,Standard DHS 2004,cm42_flattened.dta,565,9783,0.054599923,1
D:\EricChow\DHS_live\Cameroon\Standard DHS 2011\cm61_flattened.dta,Cameroon,2011,Standard DHS 2011,cm61_flattened.dta,668,13996,0.045553737,1
D:\EricChow\DHS_live\Central African Republic\Standard DHS 1994-95\cf31_flattened.dta,Central African Republic,1994,Standard DHS 1994-95,cf31_flattened.dta,,,,
D:\EricChow\DHS_live\Chad\Standard DHS 1996-97\td31_flattened.dta,Chad,1996,Standard DHS 1996-97,td31_flattened.dta,,,,
D:\EricChow\DHS_live\Chad\Standard DHS 2004\td41_flattened.dta,Chad,2004,Standard DHS 2004,td41_flattened.dta,,,,
D:\EricChow\DHS_live\Chad\Standard DHS 2014-15\td71_flattened.dta,Chad,2014,Standard DHS 2014-15,td71_flattened.dta,172,10862,0.015588182,1
D:\EricChow\DHS_live\Colombia\Standard DHS 1986\co01_flattened.dta,Colombia,1986,Standard DHS 1986,co01_flattened.dta,,,,
D:\EricChow\DHS_live\Colombia\Standard DHS 1990\co22_flattened.dta,Colombia,1990,Standard DHS 1990,co22_flattened.dta,,,,
D:\EricChow\DHS_live\Colombia\Standard DHS 1995\co31_flattened.dta,Colombia,1995,Standard DHS 1995,co31_flattened.dta,,,,
D:\EricChow\DHS_live\Colombia\Standard DHS 2000\co41_flattened.dta,Colombia,2000,Standard DHS 2000,co41_flattened.dta,,,,
D:\EricChow\DHS_live\Colombia\Standard DHS 2005\co53_flattened.dta,Colombia,2005,Standard DHS 2005,co53_flattened.dta,,,,
D:\EricChow\DHS_live\Colombia\Standard DHS 2010\co61_flattened.dta,Colombia,2010,Standard DHS 2010,co61_flattened.dta,,,,
D:\EricChow\DHS_live\Colombia\Standard DHS 2015\co71_flattened.dta,Colombia,2015,Standard DHS 2015,co71_flattened.dta,,,,
D:\EricChow\DHS_live\Comoros\Standard DHS 1996\km32_flattened.dta,Comoros,1996,Standard DHS 1996,km32_flattened.dta,,,,
D:\EricChow\DHS_live\Comoros\Standard DHS 2012\km61_flattened.dta,Comoros,2012,Standard DHS 2012,km61_flattened.dta,,,,
D:\EricChow\DHS_live\Congo\Standard AIS 2009\cg5h_flattened.dta,Congo,2009,Standard AIS 2009,cg5h_flattened.dta,379,12003,0.030608948,1
D:\EricChow\DHS_live\Congo\Standard DHS 2005\cg51_flattened.dta,Congo,2005,Standard DHS 2005,cg51_flattened.dta,,,,
D:\EricChow\DHS_live\Congo\Standard DHS 2011-12\cg60_flattened.dta,Congo,2011,Standard DHS 2011-12,cg60_flattened.dta,,,,
